year,category,prize,motivation,laureate_type,full_name,birth_date,birth_country,birth_city,sex,death_date
1997,Physics,The Nobel Prize in Physics 1997,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1997_Phy_3,1933-05-24,United Kingdom,Metropolis,Male,2009-05-15
1998,Medicine,The Nobel Prize in Medicine 1998,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1998_Med_0,1947-06-23,United States,Metropolis,Male,
1998,Physics,The Nobel Prize in Physics 1998,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1998_Phy_1,1934-09-07,United Kingdom,Metropolis,Female,2021-05-15
1999,Physics,The Nobel Prize in Physics 1999,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1999_Phy_0,1950-05-05,United Kingdom,Metropolis,Female,2008-05-15
1999,Chemistry,The Nobel Prize in Chemistry 1999,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1999_Che_1,1923-12-24,Germany,Metropolis,Male,2002-05-15
1999,Economics,The Nobel Prize in Economics 1999,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1999_Eco_2,1946-04-26,Japan,Metropolis,Male,2021-05-15
2000,Literature,The Nobel Prize in Literature 2000,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2000_Lit_0,1937-06-20,Sweden,Metropolis,Male,2016-05-15
2000,Literature,The Nobel Prize in Literature 2000,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2000_Lit_1,1925-01-02,United States,Metropolis,Male,2010-05-15
2000,Physics,The Nobel Prize in Physics 2000,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2000_Phy_2,1948-03-06,United States,Metropolis,Male,2017-05-15
2000,Literature,The Nobel Prize in Literature 2000,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2000_Lit_3,1942-11-24,United Kingdom,Metropolis,Male,2016-05-15
2001,Literature,The Nobel Prize in Literature 2001,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2001_Lit_0,1930-08-18,Sweden,Metropolis,Male,2016-05-15
2001,Chemistry,The Nobel Prize in Chemistry 2001,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2001_Che_1,1938-03-27,United Kingdom,Metropolis,Male,2011-05-15
2001,Chemistry,The Nobel Prize in Chemistry 2001,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2001_Che_2,1946-08-05,United States,Metropolis,Male,
2002,Peace,The Nobel Prize in Peace 2002,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2002_Pea_0,1942-01-13,United Kingdom,Metropolis,Male,
2002,Peace,The Nobel Prize in Peace 2002,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2002_Pea_1,1954-11-05,Germany,Metropolis,Male,
2002,Physics,The Nobel Prize in Physics 2002,For pioneering breakthroughs and discoveries,Individual,Female Laureate 2002_Phy_2,1948-05-03,United States,Metropolis,Female,
2002,Peace,The Nobel Prize in Peace 2002,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2002_Pea_3,1940-09-21,United States,Metropolis,Male,
2003,Economics,The Nobel Prize in Economics 2003,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2003_Eco_0,1938-08-26,Japan,Metropolis,Male,2013-05-15
2003,Economics,The Nobel Prize in Economics 2003,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2003_Eco_1,1941-02-26,France,Metropolis,Male,
2003,Medicine,The Nobel Prize in Medicine 2003,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2003_Med_2,1934-11-15,Germany,Metropolis,Male,2012-05-15
2004,Medicine,The Nobel Prize in Medicine 2004,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2004_Med_0,1948-08-15,United States,Metropolis,Male,2024-05-15
2004,Economics,The Nobel Prize in Economics 2004,For pioneering breakthroughs and discoveries,Individual,Female Laureate 2004_Eco_1,1950-03-04,Switzerland,Metropolis,Female,
2004,Chemistry,The Nobel Prize in Chemistry 2004,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2004_Che_2,1934-04-12,United Kingdom,Metropolis,Male,2005-05-15
2004,Physics,The Nobel Prize in Physics 2004,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2004_Phy_3,1957-01-06,Sweden,Metropolis,Male,
2005,Medicine,The Nobel Prize in Medicine 2005,For pioneering breakthroughs and discoveries,Individual,Female Laureate 2005_Med_0,1963-04-21,Germany,Metropolis,Female,
2005,Economics,The Nobel Prize in Economics 2005,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2005_Eco_1,1947-09-08,United States,Metropolis,Male,2021-05-15
2005,Economics,The Nobel Prize in Economics 2005,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2005_Eco_2,1950-03-03,Canada,Metropolis,Male,
2005,Chemistry,The Nobel Prize in Chemistry 2005,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2005_Che_3,1945-09-27,France,Metropolis,Male,
2006,Physics,The Nobel Prize in Physics 2006,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2006_Phy_0,1943-04-08,United States,Metropolis,Male,2019-05-15
2006,Physics,The Nobel Prize in Physics 2006,For pioneering breakthroughs and discoveries,Individual,Female Laureate 2006_Phy_1,1965-11-21,United States,Metropolis,Female,
2006,Medicine,The Nobel Prize in Medicine 2006,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2006_Med_2,1953-12-08,United States,Metropolis,Male,
2006,Chemistry,The Nobel Prize in Chemistry 2006,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2006_Che_3,1948-01-16,Germany,Metropolis,Male,
2007,Literature,The Nobel Prize in Literature 2007,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2007_Lit_0,1947-05-16,Germany,Metropolis,Male,
2007,Literature,The Nobel Prize in Literature 2007,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2007_Lit_1,1946-09-04,United States,Metropolis,Male,
2007,Medicine,The Nobel Prize in Medicine 2007,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2007_Med_2,1941-08-12,Japan,Metropolis,Male,
2008,Literature,The Nobel Prize in Literature 2008,For pioneering breakthroughs and discoveries,Individual,Female Laureate 2008_Lit_0,1958-06-08,United Kingdom,Metropolis,Female,
2008,Peace,The Nobel Prize in Peace 2008,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2008_Pea_1,1959-07-04,Germany,Metropolis,Male,
2008,Economics,The Nobel Prize in Economics 2008,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2008_Eco_2,1957-11-23,Sweden,Metropolis,Male,
2009,Physics,The Nobel Prize in Physics 2009,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2009_Phy_0,1948-11-08,United States,Metropolis,Male,
2009,Medicine,The Nobel Prize in Medicine 2009,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2009_Med_1,1952-08-14,United States,Metropolis,Male,2017-05-15
2010,Peace,The Nobel Prize in Peace 2010,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2010_Pea_0,1939-01-08,United Kingdom,Metropolis,Male,2021-05-15
2010,Medicine,The Nobel Prize in Medicine 2010,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2010_Med_1,1974-10-11,Japan,Metropolis,Male,
2010,Economics,The Nobel Prize in Economics 2010,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2010_Eco_2,1948-08-21,Canada,Metropolis,Male,2023-05-15
2010,Medicine,The Nobel Prize in Medicine 2010,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2010_Med_3,1951-01-08,Switzerland,Metropolis,Male,
2011,Literature,The Nobel Prize in Literature 2011,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2011_Lit_0,1943-01-13,Switzerland,Metropolis,Male,2015-05-15
2011,Chemistry,The Nobel Prize in Chemistry 2011,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2011_Che_1,1950-02-18,Russia,Metropolis,Male,
2011,Chemistry,The Nobel Prize in Chemistry 2011,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2011_Che_2,1958-12-08,Germany,Metropolis,Male,
2011,Literature,The Nobel Prize in Literature 2011,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2011_Lit_3,1940-02-09,Canada,Metropolis,Male,2015-05-15
2012,Chemistry,The Nobel Prize in Chemistry 2012,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2012_Che_0,1964-09-25,Switzerland,Metropolis,Male,
2012,Literature,The Nobel Prize in Literature 2012,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2012_Lit_1,1950-03-16,United States,Metropolis,Male,
2012,Economics,The Nobel Prize in Economics 2012,For pioneering breakthroughs and discoveries,Individual,Female Laureate 2012_Eco_2,1969-01-23,United States,Metropolis,Female,
2013,Chemistry,The Nobel Prize in Chemistry 2013,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2013_Che_0,1955-08-25,Canada,Metropolis,Male,
2013,Economics,The Nobel Prize in Economics 2013,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2013_Eco_1,1935-07-09,Japan,Metropolis,Male,2013-05-15
2014,Economics,The Nobel Prize in Economics 2014,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2014_Eco_0,1949-12-12,Sweden,Metropolis,Male,
2014,Physics,The Nobel Prize in Physics 2014,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2014_Phy_1,1973-09-22,United Kingdom,Metropolis,Male,
2015,Chemistry,The Nobel Prize in Chemistry 2015,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2015_Che_0,1965-10-18,United States,Metropolis,Male,
2015,Literature,The Nobel Prize in Literature 2015,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2015_Lit_1,1951-01-06,United States,Metropolis,Male,
2016,Chemistry,The Nobel Prize in Chemistry 2016,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2016_Che_0,1966-01-13,Japan,Metropolis,Male,
2016,Chemistry,The Nobel Prize in Chemistry 2016,For pioneering breakthroughs and discoveries,Individual,Female Laureate 2016_Che_1,1951-04-26,United Kingdom,Metropolis,Female,
2017,Economics,The Nobel Prize in Economics 2017,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2017_Eco_0,1960-10-05,United States,Metropolis,Male,
2017,Chemistry,The Nobel Prize in Chemistry 2017,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2017_Che_1,1951-04-18,United States,Metropolis,Male,
2017,Literature,The Nobel Prize in Literature 2017,For pioneering breakthroughs and discoveries,Individual,Female Laureate 2017_Lit_2,1968-01-13,United Kingdom,Metropolis,Female,
2017,Economics,The Nobel Prize in Economics 2017,For pioneering breakthroughs and discoveries,Individual,Female Laureate 2017_Eco_3,1940-06-21,United Kingdom,Metropolis,Female,
2018,Medicine,The Nobel Prize in Medicine 2018,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2018_Med_0,1967-05-14,United States,Metropolis,Male,
2018,Literature,The Nobel Prize in Literature 2018,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2018_Lit_1,1971-08-03,United States,Metropolis,Male,
2018,Peace,The Nobel Prize in Peace 2018,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2018_Pea_2,1956-09-24,Germany,Metropolis,Male,
2018,Chemistry,The Nobel Prize in Chemistry 2018,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2018_Che_3,1958-05-04,United Kingdom,Metropolis,Male,
2019,Medicine,The Nobel Prize in Medicine 2019,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2019_Med_0,1976-12-22,United States,Metropolis,Male,
2019,Peace,The Nobel Prize in Peace 2019,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2019_Pea_1,1958-09-14,France,Metropolis,Male,
2019,Chemistry,The Nobel Prize in Chemistry 2019,For pioneering breakthroughs and discoveries,Individual,Female Laureate 2019_Che_2,1956-12-20,Russia,Metropolis,Female,
2020,Chemistry,The Nobel Prize in Chemistry 2020,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2020_Che_0,1979-11-11,United Kingdom,Metropolis,Male,
2020,Physics,The Nobel Prize in Physics 2020,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2020_Phy_1,1962-12-19,United States,Metropolis,Male,
2020,Literature,The Nobel Prize in Literature 2020,For pioneering breakthroughs and discoveries,Individual,Male Laureate 2020_Lit_2,1971-06-03,Japan,Metropolis,Male,
